System,Domain,Organization,Country,Publication date,Citations,Parameters,DatasetSize,Epochs,Training time (hours),Model accessibility
Student of Games,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,6/12/21,11,,,,,Unreleased
DeBERTaV3-large + KEAR,Language,Microsoft,United States of America,6/12/21,50,418000000,,10,,
NÜWA,"Multimodal,Vision,Image generation,Video,Language","Microsoft Research,Peking University","United States of America,China",24/11/21,252,870000000,,,,Unreleased
Florence,Vision,Microsoft,United States of America,22/11/21,737,893000000,900000000,,240,Unreleased
BASIC-L,Vision,Google,United States of America,19/11/21,164,3070000000,6700000000,3,,Unreleased
Swin Transformer V2,"Vision,Video",Microsoft Research Asia,China,18/11/21,1290,3000000000,,,,Open access (unrestricted)
ViT-G/14 (LiT),Vision,Google,United States of America,15/11/21,446,3005000000,4000000000,4.5,,
Masked Autoencoders ViT-H,Vision,Facebook AI Research,United States of America,11/11/21,5598,632000000,1281167,1600,69,Open access (non-commercial)
Projected GAN,Image generation,Heidelberg University,Germany,1/11/21,196,,3000000,,,
CodeT5-base,Language,"Salesforce,Nanyang Technological University","United States of America,Singapore",1/11/21,1154,220000000,,150,288,Open access (unrestricted)
S4,Language,Stanford University,United States of America,31/10/21,931,249000000,,509.02,,Open access (unrestricted)
EfficientZero,Games,"Tsinghua University,UC Berkeley,Shanghai Qi Zhi institute","China,United States of America,China",30/10/21,177,,,,,
Eve,Biology,"Harvard Medical School,University of Oxford","United States of America,United Kingdom of Great Britain and Northern Ireland",27/10/21,397,15010300,,,,Unreleased
base LM+GNN+kNN,Language,"Shannon.AI,Nanjing University,Nanyang Technological University,Zhejiang University","China,China,Singapore,China",17/10/21,35,274000000,,,,Open access (unrestricted)
T0-XXL,Language,"Hugging Face,Brown University","Multinational,United States of America",15/10/21,1475,11000000000,,,27,Open access (unrestricted)
Yuan 1.0,Language,Inspur,China,12/10/21,47,246000000000,1000000000000,,,API access
Megatron-Turing NLG 530B,Language,"Microsoft,NVIDIA","United States of America,United States of America",11/10/21,636,530000000000,270000000000,,770,Unreleased
AlphaFold-Multimer,Biology,"Google DeepMind,DeepMind","Multinational,United Kingdom of Great Britain and Northern Ireland",4/10/21,1687,,147328,68,384,Open access (unrestricted)
TrOCR,Vision,"Beihang University,Microsoft Research Asia","China,China",21/9/21,226,558000000,721200000,,,Open access (unrestricted)
PLATO-XL,Language,Baidu,China,20/9/21,56,11000000000,150000000000,,,Open access (unrestricted)
HyperCLOVA 204B,Language,NAVER,Korea (Republic of),10/9/21,92,204000000000,,,,
PermuteFormer,Language,Peking University,China,6/9/21,19,149697024,103000000,30,,Unreleased
MEB,"Search,Language",Microsoft,United States of America,4/9/21,26,135000000000,,,,
FLAN 137B,Language,Google Research,Multinational,3/9/21,2808,137000000000,2490000000000,1,,Unreleased
XLMR-XXL,Language,Facebook AI Research,United States of America,17/8/21,98,10700000000,167000000000,3.139449102,,Open access (unrestricted)
DNABERT,Biology,Northeastern University,United States of America,15/8/21,449,110000000,3000000000,,600,Open access (unrestricted)
Zidong Taichu,"Multimodal,Speech,Vision,Language",Chinese Academy of Sciences,China,11/8/21,0,3200000000,,,,
Jurassic-1-Jumbo,Language,AI21 Labs,Israel,11/8/21,55,178000000000,225000000000,,,API access
W2v-BERT,Speech,"Google Brain,Massachusetts Institute of Technology (MIT)","United States of America,United States of America",7/8/21,330,1000000000,,,,
YOLOX-X,Vision,Megvii Inc,China,6/8/21,3207,99100000,2500000,300,,Open access (unrestricted)
6-Act Tether,Robotics,"Facebook AI Research,Georgia Institute of Technology","United States of America,United States of America",3/8/21,74,5000000,,,,
SEER,Vision,"Facebook AI Research,INRIA","United States of America,France",29/7/21,236,1300000000,1000000000,,195.5,Open access (non-commercial)
HuBERT,Speech,Facebook AI Research,United States of America,27/7/21,2116,1000000000,820800000,,,Open access (unrestricted)
GOAT,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,27/7/21,162,3472816,390000000000,,,Unreleased
Codex,Language,OpenAI,United States of America,7/7/21,3533,12000000000,31800000000,,,API access
ERNIE 3.0,Language,Baidu,China,5/7/21,333,10000000000,668000000000,,,Open access (unrestricted)
Adaptive Input Transformer + RD,Language,"Microsoft Research Asia,Soochow University","China,Taiwan",28/6/21,373,247000000,,,,Unreleased
Fold2Seq,Biology,"IBM,Texas A&M","United States of America,United States of America",24/6/21,44,12427904,45995,200,,
EfficientNetV2-XL,Vision,"Google,Google Brain","United States of America,United States of America",23/6/21,1960,208000000,14000000,30,45,Open access (unrestricted)
Denoising Diffusion Probabilistic Models (LSUN Bedroom),Vision,UC Berkeley,United States of America,11/6/21,10780,256000000,3033042,,,Open access (unrestricted)
ALIGN,"Multimodal,Vision,Language",Google Research,Multinational,11/6/21,2887,820000000,1600000000,,347.3,Unreleased
DeBERTa,Language,Microsoft,United States of America,10/6/21,2146,1500000000,15600000000,49.2,720,Open access (unrestricted)
EMDR,Language,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind","Canada,Canada,United Kingdom of Great Britain and Northern Ireland",9/6/21,136,440000000,172000000000,4.05,355,Open access (unrestricted)
CoAtNet,Vision,"Google,Google Research,Google Brain","United States of America,Multinational,United States of America",9/6/21,959,2440000000,3000000000,1.83,,Unreleased
ViT-G/14,Vision,"Google Brain,Google Research","United States of America,Multinational",8/6/21,879,1843000000,3000000000,54.6,,Unreleased
ByT5-XXL,Language,"Google,Google Research","United States of America,Multinational",28/5/21,369,12900000000,,,,Open access (unrestricted)
Transformer local-attention (NesT-B),Vision,"Google Cloud,Google Research","Multinational,Multinational",26/5/21,5734,90100000,1280000,,,Open access (unrestricted)
CogView,Image generation,"Tsinghua University,Alibaba DAMO Academy","China,China",26/5/21,596,4000000000,50000000000,,,Open access (unrestricted)
MedBERT,Medicine,"Peng Cheng Laboratory,University of Texas at Houston","China,United States of America",20/5/21,501,17000000,,,168,Unreleased
ADM,Image generation,OpenAI,United States of America,11/5/21,5178,559000000,1281167,381,,Open access (non-commercial)
ProtT5-XXL-BFD,Biology,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google,Seoul National University","Germany,China,United States of America,United States of America,United States of America,Korea (Republic of)",4/5/21,,11000000000,,,,Open access (unrestricted)
ProtT5-XXL,Biology,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google,Seoul National University","Germany,China,United States of America,United States of America,United States of America,Korea (Republic of)",4/5/21,396,11000000000,407000000000,,,Open access (unrestricted)
ProtBERT-BFD,Biology,"Technical University of Munich,NVIDIA,Seoul National University,Google,Oak Ridge National Laboratory,Med AI Technology","Germany,United States of America,Korea (Republic of),United States of America,United States of America,China",4/5/21,,420000000,8900000000000,,,Open access (unrestricted)
ViT + DINO,Vision,"INRIA,Facebook AI Research","France,United States of America",29/4/21,4310,85000000,,300,,Open access (unrestricted)
PLUG,Language,Alibaba,China,19/4/21,0,27000000000,,,840,Hosted access (no API)
M6-T,"Multimodal,Language,Vision",Alibaba,China,5/3/21,76,1000000000000,1900000000000,,,Unreleased
Generative BST,Language,Facebook AI Research,United States of America,5/3/21,923,9431810048,56800000000,1.76056338,,
Meta Pseudo Labels,Vision,"Google Brain,Google AI","United States of America,Multinational",1/3/21,582,480000000,130000000,,264,Unreleased
SRU++ Large,Language,ASAPP,United States of America,24/2/21,42,234000000,,34.08,,Open access (unrestricted)
Rational DQN Average,Games,TU Darmstadt,Germany,18/2/21,6,1683456,,,,
MSA Transformer,Biology,"Facebook AI Research,UC Berkeley,New York University (NYU)","United States of America,United States of America,United States of America",13/2/21,413,100000000,9300000000000,,,Open access (unrestricted)
top-down frozen classifier,Language,"University of Edinburgh,Toshiba Cambridge Research Laboratory","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",9/2/21,2,,,,,Unreleased
DeiT-B,Vision,"Meta AI,Sorbonne University","United States of America,France",15/1/21,5493,86000000,1280000,300,53,Open access (unrestricted)
Switch,Language,Google,United States of America,11/1/21,1529,1570000000000,576000000000,,648,Open access (unrestricted)
BigSSL,Speech,"Google,Apple","United States of America,United States of America",10/1/21,147,8000000000,42626880000,,,
DALL-E,Image generation,OpenAI,United States of America,5/1/21,3802,12000000000,250000000,,,API access
CLIP (ViT L/14@336px),"Multimodal,Vision,Language,Video",OpenAI,United States of America,5/1/21,18887,370000000,400000000,,288,Open access (unrestricted)
CLIP (ResNet-50),"Multimodal,Vision,Language,Video",OpenAI,United States of America,5/1/21,18887,88600000,400000000,,,
ERNIE-Doc (247M),Language,Baidu,China,31/12/20,46,247000000,,190.88,,Open access (unrestricted)
CT-MoS (WT2),Language,"Google,National Tsing Hua University","United States of America,Taiwan",25/12/20,15,45000000,,1000,,Unreleased
DensePhrases,Language,"Korea University,Princeton University","Korea (Republic of),United States of America",23/12/20,105,,58000000,4,20,Open access (unrestricted)
VQGAN + CLIP,Image generation,Heidelberg University,Germany,17/12/20,2069,,,,,
ESM1b,Biology,"Facebook AI Research,New York University (NYU)","United States of America,United States of America",15/12/20,1609,652400000,,56,,Open access (unrestricted)
CPM-Large,Language,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI","China,China",1/12/20,103,2600000000,16700000000,,336,Open access (unrestricted)
AlphaFold 2,Biology,DeepMind,United Kingdom of Great Britain and Northern Ireland,30/11/20,20426,93000000,530000,,264,Open access (unrestricted)
KEPLER,Language,"Tsinghua University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),HEC,CIFAR AI Research,Princeton University,University of Montreal / Université de Montréal","China,Canada,France,Canada,United States of America,Canada",23/11/20,552,125000000,3300000000,,,Unreleased
SimCLRv2,Vision,Google Brain,United States of America,26/10/20,2008,795000000,1280000,,,
wave2vec 2.0 LARGE,Speech,Facebook,United States of America,22/10/20,4417,317000000,727776000,,,Open access (unrestricted)
ViT-Huge/14,Vision,"Google Brain,Google Research","United States of America,Multinational",22/10/20,28240,632000000,1280000,14,,Open access (unrestricted)
ViT-Base/32,Vision,Google Brain,United States of America,22/10/20,28240,86000000,,,,
German ELECTRA Large,Language,"deepset,Bayerische Staatsbibliothek Muenchen","Germany,Germany",21/10/20,238,335000000,36383733333,,168,Open access (unrestricted)
GBERT-Large,Language,"deepset,Bayerische Staatsbibliothek Muenchen","Germany,Germany",21/10/20,238,335000000,27287800000,,264,Open access (unrestricted)
mT5-XXL,Language,"Google,Google Research","United States of America,Multinational",20/10/20,2022,13000000000,1000000000000,1,,Open access (unrestricted)
Conformer + Wav2vec 2.0 + Noisy Student,Speech,"Google,Google Research,Google Brain","United States of America,Multinational,United States of America",20/10/20,290,1000000000,,,168,Unreleased
LUKE,Language,"University of Washington,National Institute of Informatics","United States of America,Japan",2/10/20,601,484000000,3500000000,,720,Open access (unrestricted)
ProBERTa,Biology,"University of Illinois Urbana-Champaign (UIUC),Reed College","United States of America,United States of America",1/9/20,97,44000000,58320000,,18,
ERNIE-GEN (large),Language,Baidu,China,6/8/20,117,340000000,86000000000,,,Open access (non-commercial)
DeLighT,Language,"University of Washington,Allen Institute for AI,Facebook AI Research","United States of America,United States of America,United States of America",3/8/20,98,99000000,,62.14,,Unreleased
EfficientDet,Vision,Google Brain,United States of America,27/7/20,4701,77000000,,,,Open access (unrestricted)
Hopfield Networks (2020),"Biology,Vision,Language,Medicine","Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo","Austria,Austria,Norway",16/7/20,327,,,,,Open access (unrestricted)
SemExp,Robotics,"Carnegie Mellon University (CMU),Facebook AI Research","United States of America,United States of America",2/7/20,405,,,,,Open access (unrestricted)
GShard (dense),Language,Google,United States of America,30/6/20,829,2300000000,347000000000,,1008,Unreleased
iGPT-XL,"Vision,Image generation",OpenAI,United States of America,17/6/20,1310,6801000000,1229920,,,Open access (unrestricted)
iGPT-L,"Image generation,Vision",OpenAI,United States of America,17/6/20,1310,1362000000,1229920,,,Open access (unrestricted)
GPT-3 175B (davinci),Language,OpenAI,United States of America,28/5/20,30858,175000000000,374000000000,0.6,355.2,API access
DETR,Vision,Facebook,United States of America,26/5/20,10201,60000000,123000,500,,Open access (unrestricted)
Retrieval-Augmented Generator,Language,"Facebook,New York University (NYU),University College London (UCL)","United States of America,United States of America,United Kingdom of Great Britain and Northern Ireland",22/5/20,3123,626000000,,,,Open access (unrestricted)
Conformer,Speech,Google,United States of America,16/5/20,2558,118800000,,,,Unreleased
ContextNet,Speech,Google,United States of America,7/5/20,233,112700000,1710000000,,,Unreleased
NAS+ESS (156M),Language,"Northeastern University (China),Chinese Academy of Sciences,NiuTrans Research,Kingsoft","China,China,China,China",6/5/20,12,156000000,,30,,Unreleased
UnifiedQA,Language,"Allen Institute for AI,University of Washington","United States of America,United States of America",2/5/20,657,11000000000,97309860,1.88,36,Unreleased
ATLAS,Language,"Allen Institute for AI,University of Washington","United States of America,United States of America",2/5/20,657,11000000000,,,36,Open access (unrestricted)
Once for All,Vision,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT),IBM","United States of America,United States of America,United States of America",29/4/20,1137,7700000,,,,Open access (unrestricted)
Go-explore,Games,"Uber AI,OpenAI","United States of America,United States of America",27/4/20,305,,,,,Unreleased
CURL,Games,UC Berkeley,United States of America,8/4/20,951,907264,,,,Open access (unrestricted)
Agent57,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,30/3/20,479,,,,,Unreleased
MetNet,Earth science,Google,United States of America,24/3/20,242,,,,,Unreleased
ELECTRA,Language,"Stanford University,Google,Google Brain","United States of America,United States of America,United States of America",23/3/20,2968,335000000,25000000000,,,Open access (unrestricted)
Tensor-Transformer(1core)+PN (WT103),Language,UC Berkeley,United States of America,17/3/20,60,85300000,,30,,Open access (unrestricted)
Routing Transformer (WT-103),Language,Google Research,Multinational,12/3/20,506,79500000,,,,Open access (unrestricted)
TransformerXL + spectrum control,Language,"University of California Los Angeles (UCLA),JD.com","United States of America,China",11/3/20,78,151000000,,250,,Unreleased
TCAN (WT2),Language,"Nanjing University,Ant Group","China,China",28/2/20,35,33000000,,,,Unreleased
Feedback Transformer,Language,"LORIA,University of Lorraine,Facebook AI Research","France,France,United States of America",21/2/20,41,126000000,,267.23,,Unreleased
Turing-NLG,Language,Microsoft,United States of America,13/2/20,114,17000000000,46400000000,3.39,,Unreleased
SimCLR,Vision,Google Brain,United States of America,13/2/20,15538,375000000,,1000,,Open access (unrestricted)
ALBERT-xxlarge,Language,"Toyota Technological Institute at Chicago,Google","United States of America,United States of America",9/2/20,5809,235000000,3300000000,,32,Open access (unrestricted)
TaLK Convolution,Language,Carleton University,Canada,8/2/20,28,240000000,,187.43,,Unreleased
Perceiver IO (optical flow),"Multimodal,Language,Vision",DeepMind,United Kingdom of Great Britain and Northern Ireland,8/2/20,491,27900000,,,,Unreleased
Theseus 6/768,Language,"University of California San Diego,Beihang University,Microsoft","United States of America,China,United States of America",7/2/20,184,66000000,,,,Open access (unrestricted)
Meena,Language,Google Brain,United States of America,28/1/20,867,2600000000,40000000000,164,720,Unreleased
ContextNet + Noisy Student,Speech,Google,United States of America,19/1/20,221,,,,1440,Unreleased
AlphaFold,Biology,DeepMind,United Kingdom of Great Britain and Northern Ireland,15/1/20,2773,16340840,,,120,Unreleased
Big Transfer (BiT-L),Vision,Google Brain,United States of America,24/12/19,1082,928000000,,40,,Unreleased
DD-PPO,Robotics,"Georgia Institute of Technology,Facebook AI Research,Oregon State University,Simon Fraser University","United States of America,United States of America,United States of America,Canada",19/12/19,401,,,,66,Unreleased
OpenAI Five Rerun,Games,OpenAI,United States of America,13/12/19,1591,159000000,53084160000,,,Unreleased
OpenAI Five,Games,OpenAI,United States of America,13/12/19,1591,159000000,454000000000,,7104,Unreleased
MMLSTM,Language,"Beijing University of Posts and Telecommunications,University of West London","China,United Kingdom of Great Britain and Northern Ireland",5/12/19,15,75000000,,50,,Unreleased
StarGAN v2,"Vision,Image generation","NAVER,Yonsei University,Swiss Federal Institute of Technology","Korea (Republic of),Korea (Republic of),Switzerland",4/12/19,1517,,,,,Open access (non-commercial)
Transformer-XL DeFINE (141M),Language,"University of Washington,Allen Institute for AI","United States of America,United States of America",27/11/19,22,141000000,,20,,Unreleased
Photo-Geometric Autoencoder,"3D modeling,Vision",University of Oxford,United Kingdom of Great Britain and Northern Ireland,25/11/19,290,,,,,Open access (unrestricted)
Transformer - LibriVox + Decoding/Rescoring,Speech,Facebook,United States of America,19/11/19,237,296000000,,,,Open access (unrestricted)
MuZero,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,19/11/19,1723,36864000,20000000000,,,Unreleased
MoCo,"Vision,Image generation",Facebook AI,United States of America,13/11/19,10392,375000000,,,,Open access (non-commercial)
Noisy Student (L2),Vision,"Carnegie Mellon University (CMU),Google","United States of America,United States of America",11/11/19,2177,480000000,81000000,,144,Unreleased
Sandwich Transformer,Language,"Allen Institute for AI,Facebook AI Research","United States of America,United States of America",10/11/19,80,209000000,,180,,Unreleased
CamemBERT,Language,"Facebook,INRIA,Sorbonne University","United States of America,France,France",10/11/19,990,335000000,31900000000,13,24,Open access (unrestricted)
XLM-RoBERTa,Language,Facebook AI,United States of America,5/11/19,5499,550000000,125000000000,,,Open access (non-commercial)
Base LM + kNN LM + Continuous Cache,Language,"Stanford University,Facebook AI Research","United States of America,United States of America",1/11/19,690,247000000,,200,,Unreleased
AlphaStar,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,30/10/19,3229,139000000,,,1056,Unreleased
BART-large,Language,Facebook AI,United States of America,29/10/19,9216,406291456,,,,Open access (unrestricted)
T5-11B,Language,Google,United States of America,23/10/19,15986,11000000000,200000000000,,481.9,Open access (unrestricted)
T5-3B,Language,Google,United States of America,23/10/19,15986,2800000000,25500000000,0.17,,Open access (unrestricted)
M4-50B,Language,Google,United States of America,11/10/19,,50000000000,,,,Unreleased
DistilBERT,Language,Hugging Face,Multinational,2/10/19,6160,66000000,,,,Open access (unrestricted)
AlphaX-1,Vision,"Facebook AI Research,Brown University","United States of America,United States of America",2/10/19,91,579000000,1480000,,,Unreleased
ALBERT,Language,"Toyota Technological Institute at Chicago,Google Research","United States of America,Multinational",26/9/19,5809,18000000,3300000000,,,Open access (unrestricted)
Adaptive Inputs + LayerDrop,Language,"Facebook AI Research,LORIA","United States of America,France",25/9/19,531,423000000,,,,Open access (unrestricted)
Megatron-LM (8.3B),Language,NVIDIA,United States of America,17/9/19,1442,8300000000,34800000000,4.4,327,Unreleased
Megatron-BERT,Language,NVIDIA,United States of America,17/9/19,1442,3900000000,46400000000,,374,Unreleased
ResNet-152 + ObjectNet,Vision,Massachusetts Institute of Technology (MIT),United States of America,6/9/19,2393,38000000,50000,,,Unreleased
UDSMProt,Biology,Fraunhofer Heinrich Hertz Institute,Germany,4/9/19,,28303800,,30,,Open access (unrestricted)
"Mogrifier (d2, MoS2, MC) + dynamic eval",Language,"DeepMind,University of Oxford","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",4/9/19,109,35000000,,145,,Unreleased
EN^2AS with performance reward,Language,"Beijing Institute of Technology,University of Technology Sydney,Monash University","China,Australia,Australia",22/7/19,1,23000000,,,,Unreleased
Pluribus,Games,Facebook AI Research,United States of America,11/7/19,645,,,,,Unreleased
BigBiGAN,"Vision,Image generation",Google,United States of America,4/7/19,519,86000000,,,,Open access (unrestricted)
RoBERTa Large,Language,"Facebook,University of Washington","United States of America,United States of America",1/7/19,20965,355000000,32000000000,,120,Open access (unrestricted)
Tensorized Transformer (257M),Language,"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology","China,China,China",24/6/19,149,257000000,,30,,Unreleased
Walking Minotaur robot,Robotics,"UC Berkeley,Google Brain","United States of America,United States of America",19/6/19,398,,,,,Unreleased
LaNet-L (CIFAR-10),Vision,"Brown University,Facebook","United States of America,United States of America",17/6/19,44,44100000,60000,600,,Open access (non-commercial)
PG-SWGAN,Image generation,ETH Zurich,Switzerland,15/6/19,115,,,,,Unreleased
FixRes ResNeXt-101 WSL,Vision,Facebook AI,United States of America,14/6/19,405,829000000,940000000,,,Open access (non-commercial)
Char-CNN-BiLSTM,Language,Capital One,United States of America,13/6/19,2,,,,,Unreleased
AWD-LSTM + MoS + Partial Shuffled,Language,University of Texas at Austin,United States of America,10/6/19,110,35000000,,750,,Open access (non-commercial)
Transformer-XL Large + Phrase Induction,Language,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)","United States of America,United States of America",4/6/19,12,257000000,,1,,Unreleased
AMDIM,"Vision,Image generation",Microsoft Research,United States of America,3/6/19,1348,626000000,,,,Open access (unrestricted)
XLNet,Language,"Carnegie Mellon University (CMU),Google Brain","United States of America,United States of America",1/6/19,7672,340000000,,,,Open access (unrestricted)
XLM,Language,Facebook,United States of America,1/6/19,2547,665000000,,,,Open access (non-commercial)
DLRM-2020,Recommendation,Facebook AI,United States of America,31/5/19,629,100000000000,,,,Unreleased
MnasNet-A3,Vision,Google,United States of America,29/5/19,2757,5200000,1280000,,108,Open access (unrestricted)
MnasNet-A1 + SSDLite,Vision,Google,United States of America,29/5/19,2757,4900000,118000,,108,Open access (unrestricted)
EfficientNet-L2,Vision,Google,United States of America,28/5/19,14942,480000000,,,,Open access (unrestricted)
CPC v2,"Vision,Image generation","DeepMind,UC Berkeley","United Kingdom of Great Britain and Northern Ireland,United States of America",22/5/19,491,303000000,,,,Unreleased
AWD-LSTM-DRILL + dynamic evaluation† (WT2),Language,IDIAP,Switzerland,14/5/19,7,34000000,,1000,,Open access (unrestricted)
ResNeXt-101 Billion-scale,Vision,Facebook AI,United States of America,2/5/19,432,193000000,,,,Open access (non-commercial)
ResNet-50 Billion-scale,Vision,Facebook AI,United States of America,2/5/19,432,25000000,1090000000,,,Open access (non-commercial)
Neuro-Symbolic Concept Learner,"Vision,Language","Massachusetts Institute of Technology (MIT),Tsinghua University,MIT-IBM Watson AI Lab,DeepMind","United States of America,China,United States of America,United Kingdom of Great Britain and Northern Ireland",26/4/19,695,,,,,Unreleased
DANet,Vision,Chinese Academy of Sciences,China,21/4/19,4547,,,,,Open access (unrestricted)
BERT-Large-CAS (PTB+WT2+WT103),Language,Amazon,United States of America,20/4/19,110,395000000,,50,,Unreleased
SpecAugment,Language,Google Brain,United States of America,18/4/19,3144,,,,,Unreleased
Transformer-XL + RMS dynamic eval,Language,University of Edinburgh,United Kingdom of Great Britain and Northern Ireland,17/4/19,40,257000000,,,,Unreleased
WeNet (Penn Treebank),Language,Amazon,United States of America,8/4/19,5,23000000,,6000,24,Unreleased
True-Regularization+Finetune+Dynamic-Eval,Language,"Mobvoi,Williams College","China,United States of America",8/4/19,24,7000000,,,,Unreleased
Cross-lingual alignment,Language,"Tel Aviv University,Massachusetts Institute of Technology (MIT)","Israel,United States of America",4/4/19,196,,,,,Open access (unrestricted)
FAIRSEQ Adaptive Inputs,Language,"Facebook AI Research,Google Brain","United States of America,United States of America",1/4/19,2945,247000000,,,,Unreleased
SciBERT,Language,Allen Institute for AI,United States of America,26/3/19,2808,110000000,3300000000,,168,Open access (unrestricted)
NMT Transformer 437M,Language,"Google,Bar-Ilan University","United States of America,Israel",28/2/19,520,437700000,,,,Unreleased
KataGo,Games,Jane Street,Multinational,27/2/19,82,2500000,241000000,,456,Open access (unrestricted)
ProxylessNAS,Vision,Massachusetts Institute of Technology (MIT),United States of America,23/2/19,1806,,1280000,,,Open access (unrestricted)
GPT-2 (1.5B),Language,OpenAI,United States of America,14/2/19,18461,1500000000,8000000000,20,,Open access (unrestricted)
Hanabi 4 player,Games,"DeepMind,University of Oxford,Carnegie Mellon University (CMU),Google Brain","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United States of America,United States of America",1/2/19,229,764000,,,,Unreleased
MT-DNN,Language,Microsoft,United States of America,31/1/19,1217,330000000,,,,Open access (unrestricted)
Transformer-XL (257M),Language,"Carnegie Mellon University (CMU),Google Brain","United States of America,United States of America",9/1/19,3354,257000000,,,,Open access (unrestricted)
Decoupled weight decay regularization,Vision,University of Freiburg,Germany,4/1/19,2061,36500000,50000,,,Open access (unrestricted)
Transformer ELMo,Language,"Allen Institute for AI,University of Washington","United States of America,United States of America",1/1/19,396,56000000,,,,Unreleased
GPipe (Transformer),Language,Google,United States of America,16/11/18,1218,6000000000,20000000000,,,
GPipe (Amoeba),Vision,Google,United States of America,16/11/18,1218,557000000,1281167,,,
Multi-cell LSTM,Language,University of Hyderabad,India,15/11/18,6,7200000,,50,,Unreleased
Fine-tuned-AWD-LSTM-DOC(fin),Language,Samsung R&D Institute Russia,Russia,12/11/18,2,35000000,1066666667,15,,Unreleased
Mesh-TensorFlow Transformer 4.9B (language),Language,Google Brain,United States of America,5/11/18,357,4900000000,6333333333,10,13,Unreleased
Mesh-TensorFlow Transformer 2.9B (translation),Language,Google Brain,United States of America,5/11/18,357,2900000000,1800000000,10,22,Unreleased
MemoReader,Language,"Samsung,Korea University","Korea (Republic of),Korea (Republic of)",31/10/18,17,,,,,Unreleased
TrellisNet,Language,"Carnegie Mellon University (CMU),Bosch Center for Artificial Intelligence,Intel Labs","United States of America,Germany,Multinational",15/10/18,138,180000000,,25,,Unreleased
MetaMimic,Robotics,Google,United States of America,11/10/18,26,22000000,,,,
BERT-Large,Language,Google,United States of America,11/10/18,81681,340000000,3300000000,40,96,Open access (unrestricted)
Transformer (Adaptive Input Embeddings) WT103,Language,Facebook AI Research,United States of America,28/9/18,360,247000000,100000000,,67,Open access (unrestricted)
BigGAN-deep 512x512,Image generation,"Heriot-Watt University,DeepMind","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",28/9/18,4832,112694781,292000000,,48,Open access (unrestricted)
LSTM+NeuralCache,Language,"KU Leuven,ESAT - PSI,Apple","Belgium,Belgium,United States of America",24/9/18,3,2100000,,39,,Unreleased
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",Language,"Peking University,Microsoft Research Asia","China,China",18/9/18,152,35000000,,,,Unreleased
Transformer + Simple Recurrent Unit,Language,"ASAPP,Cornell University,Google,Princeton University","United States of America,United States of America,United States of America,United States of America",17/9/18,293,90000000,,40,,Unreleased
ESRGAN,"Vision,Image generation","Chinese University of Hong Kong (CUHK),Chinese Academy of Sciences,Nanyang Technological University","Hong Kong,China,Singapore",1/9/18,3206,,,,,
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),Language,"NTT Communication Science Laboratories,Tohoku University","Japan,Japan",30/8/18,36,185000000,,300,,Open access (unrestricted)
Big Transformer for Back-Translation,Language,"Facebook AI Research,Google Brain","United States of America,United States of America",28/8/18,1155,,3390000000,,27.666,Open access (unrestricted)
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),Language,IBM,United States of America,14/8/18,6,35000000,,,,Unreleased
Big-Little Net (speech),Speech,IBM,United States of America,10/7/18,90,3320000,27360000,16,,Open access (unrestricted)
Big-Little Net,Vision,IBM,United States of America,10/7/18,90,77360000,1280000,110,,Open access (unrestricted)
RCAN,"Image generation,Vision",Northeastern University,United States of America,8/7/18,3821,,,,,
Population-based DRL,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,3/7/18,672,122000000,,,,Unreleased
FTW,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,3/7/18,672,126001330,,,,Unreleased
ShuffleNet v2,Vision,"Tsinghua University,Megvii Inc","China,China",30/6/18,4289,2280000,,,,
QT-Opt,"Robotics,Vision","Google Brain,UC Berkeley","United States of America,United States of America",27/6/18,1442,1200000,5984870,80,104.2,Unreleased
DARTS,Language,"DeepMind,Carnegie Mellon University (CMU)","United Kingdom of Great Britain and Northern Ireland,United States of America",24/6/18,3991,33000000,,300,,Unreleased
